listener_id,age,gender,stimulus,timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7
priya_019,26,Female,TES_BWD_SYN,2026-06-17T15:25:03.853375,2,2,2,2,4,3,3
priya_019,26,Female,NIS_FWD_MEAS,2026-06-17T15:26:01.881585,3,4,4,4,1,2,3
priya_019,26,Female,TES_FWD_SYN,2026-06-17T15:27:00.925304,3,3,2,3,3,3,3
priya_019,26,Female,VW_FWD_SYN,2026-06-17T15:27:59.514495,4,3,3,2,4,4,4
priya_019,26,Female,TES_BWD_MEAS,2026-06-17T15:29:01.036078,2,3,3,4,4,4,3
priya_019,26,Female,NIS_FWD_SYN,2026-06-17T15:29:35.266745,4,4,5,4,3,4,3
priya_019,26,Female,TES_FWD_MEAS,2026-06-17T15:30:23.830354,2,3,2,4,2,2,2
priya_019,26,Female,VW_FWD_MEAS,2026-06-17T15:30:54.362839,4,4,5,4,3,4,4
priya_019,26,Female,NIS_BWD_MEAS,2026-06-17T15:31:32.643240,4,4,4,5,1,2,2
priya_019,26,Female,NIS_BWD_SYN,2026-06-17T15:31:41.665030,3,3,3,3,3,3,3
20,25,Male,TES_FWD_MEAS,2026-06-17T15:35:35.093705,2,4,4,4,2,2,2
20,25,Male,TES_BWD_SYN,2026-06-17T15:37:21.952841,1,4,4,5,2,2,1
20,25,Male,NIS_BWD_MEAS,2026-06-17T15:39:19.020477,1,5,5,4,2,1,1
20,25,Male,NIS_FWD_MEAS,2026-06-17T15:40:10.063447,5,4,4,2,4,4,4
20,25,Male,NIS_BWD_SYN,2026-06-17T15:40:54.670045,3,4,4,2,4,1,1
20,25,Male,NIS_FWD_SYN,2026-06-17T15:41:36.488098,4,4,4,1,4,4,5
20,25,Male,TES_BWD_MEAS,2026-06-17T15:42:26.765759,4,4,3,2,3,4,4
20,25,Male,TES_FWD_SYN,2026-06-17T15:43:11.596581,2,2,2,5,2,3,2
20,25,Male,VW_FWD_MEAS,2026-06-17T15:43:49.685551,4,5,4,1,5,4,5
20,25,Male,VW_FWD_SYN,2026-06-17T15:44:30.075670,4,4,3,2,4,4,4
tanishq_010,24,Male,TES_BWD_MEAS,2026-06-17T16:00:35.799106,4,4,3,1,4,4,4
tanishq_010,24,Male,VW_FWD_SYN,2026-06-17T16:01:48.780453,4,3,4,1,4,4,4
tanishq_010,24,Male,TES_FWD_SYN,2026-06-17T16:02:33.982756,5,5,5,4,2,4,5
tanishq_010,24,Male,NIS_BWD_MEAS,2026-06-17T16:03:33.303128,3,3,3,4,2,2,2
tanishq_010,24,Male,TES_FWD_MEAS,2026-06-17T16:04:15.377847,4,4,4,3,3,4,4
tanishq_010,24,Male,NIS_FWD_SYN,2026-06-17T16:05:03.786299,2,2,3,3,3,4,3
tanishq_010,24,Male,VW_FWD_MEAS,2026-06-17T16:05:35.547840,4,4,4,2,3,4,4
tanishq_010,24,Male,TES_BWD_SYN,2026-06-17T16:06:13.134322,5,5,4,4,2,4,4
tanishq_010,24,Male,NIS_FWD_MEAS,2026-06-17T16:06:46.037184,5,5,4,3,3,4,4
tanishq_010,24,Male,NIS_BWD_SYN,2026-06-17T16:07:23.915105,3,3,3,4,3,4,4
Gaurav_028,25,Male,NIS_FWD_MEAS,2026-06-17T16:09:18.785119,4,4,4,2,3,2,4
Gaurav_028,25,Male,NIS_FWD_SYN,2026-06-17T16:10:23.413196,2,2,2,3,4,2,2
Gaurav_028,25,Male,TES_FWD_MEAS,2026-06-17T16:11:09.487634,4,4,5,4,2,4,2
Gaurav_028,25,Male,NIS_BWD_MEAS,2026-06-17T16:11:55.512799,4,5,4,5,2,2,2
Gaurav_028,25,Male,TES_BWD_MEAS,2026-06-17T16:12:33.328405,4,2,4,2,4,4,4
Gaurav_028,25,Male,TES_FWD_SYN,2026-06-17T16:13:12.196939,2,2,2,4,2,2,2
Gaurav_028,25,Male,VW_FWD_SYN,2026-06-17T16:13:52.653018,2,2,2,1,2,2,4
Gaurav_028,25,Male,TES_BWD_SYN,2026-06-17T16:14:33.538981,4,4,4,2,4,3,4
Gaurav_028,25,Male,VW_FWD_MEAS,2026-06-17T16:15:04.321540,4,4,4,2,3,4,4
Gaurav_028,25,Male,NIS_BWD_SYN,2026-06-17T16:15:43.694722,4,4,4,4,1,1,2
samarth_009,23,Male,TES_BWD_MEAS,2026-06-17T16:17:38.040429,3,3,3,3,3,4,3
samarth_009,23,Male,NIS_BWD_MEAS,2026-06-17T16:18:33.761721,4,2,4,4,4,3,4
samarth_009,23,Male,TES_FWD_SYN,2026-06-17T16:19:19.095578,2,2,4,4,2,4,4
samarth_009,23,Male,NIS_FWD_SYN,2026-06-17T16:19:56.025764,2,2,4,2,4,4,4
samarth_009,23,Male,VW_FWD_SYN,2026-06-17T16:20:26.043848,2,2,4,2,4,4,4
